YEAR,HWTSUPP,WTSUPP,Min.,X1st.Qu.,Median,Mean,X3rd.Qu.,Max.,COMMENT
1962,126152506.24,127479110.5,NA,NA,NA,NA,NA,NA,(unweighted) income not provided
1962,126152506.24,127479110.5,NA,NA,NA,NA,NA,NA,(hwtsupp-weighted) income not provided
1962,126152506.24,127479110.5,NA,NA,NA,NA,NA,NA,(wtsupp-weighted) income not provided
1963,125744057.4213,129674913.5689,NA,NA,NA,NA,NA,NA,(unweighted) income not provided
1963,125744057.4213,129674913.5689,NA,NA,NA,NA,NA,NA,(hwtsupp-weighted) income not provided
1963,125744057.4213,129674913.5689,NA,NA,NA,NA,NA,NA,(wtsupp-weighted) income not provided
1964,130793734.88,131860730.07,NA,NA,NA,NA,NA,NA,(unweighted) income not provided
1964,130793734.88,131860730.07,NA,NA,NA,NA,NA,NA,(hwtsupp-weighted) income not provided
1964,130793734.88,131860730.07,NA,NA,NA,NA,NA,NA,(wtsupp-weighted) income not provided
1965,132096574.13,133885649.82,NA,NA,NA,NA,NA,NA,(unweighted) income not provided
1965,132096574.13,133885649.82,NA,NA,NA,NA,NA,NA,(hwtsupp-weighted) income not provided
1965,132096574.13,133885649.82,NA,NA,NA,NA,NA,NA,(wtsupp-weighted) income not provided
1966,134559728.9351,137069092.2293,NA,NA,NA,NA,NA,NA,(unweighted) income not provided
1966,134559728.9351,137069092.2293,NA,NA,NA,NA,NA,NA,(hwtsupp-weighted) income not provided
1966,134559728.9351,137069092.2293,NA,NA,NA,NA,NA,NA,(wtsupp-weighted) income not provided
1967,141707355.8182,138696666.0035,NA,NA,NA,NA,NA,NA,(unweighted) income not provided
1967,141707355.8182,138696666.0035,NA,NA,NA,NA,NA,NA,(hwtsupp-weighted) income not provided
1967,141707355.8182,138696666.0035,NA,NA,NA,NA,NA,NA,(wtsupp-weighted) income not provided
1968,562539.72,562474.88,-49879985.036,49875.012,49875.012,487431022.805765,49875.012,498799995.012,(unweighted) topcodes (Census Bureau/IPUMS coded as invalid)
1968,562539.72,562474.88,-49879985.036,49875.012,49875.012,492087000.298658,49875.012,498799995.012,(hwtsupp-weighted) topcodes (Census Bureau/IPUMS coded as invalid)
