YEAR,HWTSUPP,ASECFLAG,HFLAG,HHBRACKET99,CPI99,MONTH,WTSUPP,NRESP
1962,126152506.24,NA,NA,NA,5.572,3,127479110.5,71741
1963,125744057.4213,NA,NA,NA,5.517,3,129674913.5689,55882
1964,130793734.88,NA,NA,NA,5.444,3,131860730.07,54543
1965,132096574.13,NA,NA,NA,5.374,3,133885649.82,54502
1966,134559728.9351,NA,NA,NA,5.289,3,137069092.2293,110055
1967,141707355.8182,NA,NA,NA,5.142,3,138696666.0035,68676
1968,7664.88,NA,NA,-49000,4.988,3,7762.52,6
1968,2312.36,NA,NA,-48000,4.988,3,2312.36,2
1968,3606.78,NA,NA,-44000,4.988,3,3480.98,3
1968,7044.42,NA,NA,-43000,4.988,3,7310.07,6
1968,2482.46,NA,NA,-42000,4.988,3,2482.46,2
1968,4613.6,NA,NA,-39000,4.988,3,4613.6,4
1968,4281.84,NA,NA,-38000,4.988,3,3339.97,3
1968,3579.66,NA,NA,-37000,4.988,3,4174.87,3
1968,1281.59,NA,NA,-35000,4.988,3,1281.59,1
1968,3342.9,NA,NA,-34000,4.988,3,3318.99,3
1968,7892.04,NA,NA,-32000,4.988,3,7811.34,6
1968,2321.48,NA,NA,-30000,4.988,3,2321.48,2
1968,11164.51,NA,NA,-29000,4.988,3,10921.98,9
1968,2716.64,NA,NA,-28000,4.988,3,2716.64,2
1968,2511.5,NA,NA,-24000,4.988,3,2511.5,2
1968,5306.92,NA,NA,-23000,4.988,3,5304.81,4
1968,5384.8,NA,NA,-22000,4.988,3,5176.25,4
1968,4950.19,NA,NA,-21000,4.988,3,4940.74,4
1968,6961.62,NA,NA,-20000,4.988,3,6797.66,6
1968,5901.2,NA,NA,-19000,4.988,3,6004.94,5
1968,1226.46,NA,NA,-16000,4.988,3,1226.46,1
1968,16229.85,NA,NA,-15000,4.988,3,16173.32,13
1968,28665.32,NA,NA,-14000,4.988,3,28523.27,23
1968,7659.36,NA,NA,-13000,4.988,3,7751.98,6
1968,3770.79,NA,NA,-12000,4.988,3,3759.11,3
1968,12120.1,NA,NA,-9000,4.988,3,11657.77,10
1968,4682.14,NA,NA,-8000,4.988,3,4682.14,4
1968,21157.6,NA,NA,-7000,4.988,3,21195.48,18
1968,12912.47,NA,NA,-6000,4.988,3,13261.01,11
1968,4532.28,NA,NA,-5000,4.988,3,4532.28,4
1968,51185.32,NA,NA,-4000,4.988,3,51778.07,35
1968,11712.56,NA,NA,-3000,4.988,3,11667.88,10
1968,20852.67,NA,NA,-2000,4.988,3,20299.5,17
1968,38701.18,NA,NA,-1000,4.988,3,38283.26,32
1968,25864.91,NA,NA,0,4.988,3,25636.69,20
1968,1184648.6,NA,NA,1000,4.988,3,1189605,922
1968,369986.8,NA,NA,2000,4.988,3,372478.09,281
1968,851685.24,NA,NA,3000,4.988,3,857467.29,666
1968,908349.39,NA,NA,4000,4.988,3,915207.27,690
1968,1591802.98,NA,NA,5000,4.988,3,1602414.31,1233
1968,1738750.41,NA,NA,6000,4.988,3,1721606.94,1323
1968,1556768.03,NA,NA,7000,4.988,3,1568270.22,1206
1968,1988765.59,NA,NA,8000,4.988,3,1984005.09,1527
1968,1788322.29,NA,NA,9000,4.988,3,1784012.56,1374
1968,2268379.74,NA,NA,10000,4.988,3,2274082.61,1734
1968,2165732,NA,NA,11000,4.988,3,2167260.38,1668
1968,2003753.7,NA,NA,12000,4.988,3,2003809.24,1542
1968,2168641.25,NA,NA,13000,4.988,3,2182120.76,1681
1968,1795444.54,NA,NA,14000,4.988,3,1806587.27,1412
1968,2755065.4,NA,NA,15000,4.988,3,2755677.05,2120
1968,2268099.82,NA,NA,16000,4.988,3,2274172.78,1792
1968,1776567.24,NA,NA,17000,4.988,3,1784079.66,1377
1968,2381740.23,NA,NA,18000,4.988,3,2396836.56,1856
1968,2153161.3,NA,NA,19000,4.988,3,2164075.15,1691
1968,3004821.51,NA,NA,20000,4.988,3,3007437.89,2310
1968,2403321.69,NA,NA,21000,4.988,3,2397659.03,1842
1968,2066415.27,NA,NA,22000,4.988,3,2079370.47,1606
1968,2606308.04,NA,NA,23000,4.988,3,2614807.63,2022
1968,2190740.44,NA,NA,24000,4.988,3,2207894.19,1674
1968,3776678.25,NA,NA,25000,4.988,3,3788090.68,2939
1968,3088868.83,NA,NA,26000,4.988,3,3091598.1,2345
1968,2492611.4,NA,NA,27000,4.988,3,2497367.69,1935
1968,3100692.11,NA,NA,28000,4.988,3,3112453.3,2380
1968,2453267.03,NA,NA,29000,4.988,3,2452384.44,1900
1968,4479692.29,NA,NA,30000,4.988,3,4482053.57,3376
1968,2906897.32,NA,NA,31000,4.988,3,2917382.85,2259
1968,2532898.05,NA,NA,32000,4.988,3,2547394.39,1973
1968,3701992.9,NA,NA,33000,4.988,3,3713673.57,2865
1968,2485984.31,NA,NA,34000,4.988,3,2492664.31,1911
